#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.330640E-12
#47368_015_2-S_MAIN0_Interstrip_091923
#Date/Time: 9/19/2023 3:30:39 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
510	3777997541.265573	1.993854	23.500000	26.065694	-1.846800E-7	6.002477E-12	-8.379810E-11	-1.007773E-10	-1.193720E-10
525	3777997566.068620	2.011389	23.500000	26.086681	-1.847100E-7	6.002753E-12	-7.843557E-11	-9.856237E-11	-1.168758E-10
540	3777997591.006777	1.995770	23.500000	26.079387	-1.846500E-7	6.001358E-12	-7.596709E-11	-9.624278E-11	-1.166118E-10
555	3777997615.939297	2.002471	23.500000	26.033036	-1.845600E-7	6.000742E-12	-8.320684E-11	-1.017261E-10	-1.222385E-10
570	3777997640.735285	2.010099	23.500000	26.042151	-1.847800E-7	5.998960E-12	-8.038105E-11	-1.007260E-10	-1.177865E-10
585	3777997665.583529	1.953038	23.500000	26.068984	-1.846800E-7	6.000157E-12	-7.449369E-11	-9.494924E-11	-1.132882E-10
600	3777997690.393214	1.979005	23.500000	26.073719	-1.847200E-7	5.998875E-12	-7.806288E-11	-9.819212E-11	-1.185620E-10
615	3777997715.212327	1.968146	23.500000	26.073164	-1.848100E-7	5.999100E-12	-7.963012E-11	-9.991784E-11	-1.182543E-10
630	3777997740.029756	1.985457	23.500000	26.068390	-1.845700E-7	5.998970E-12	-7.898981E-11	-9.988125E-11	-1.195282E-10
645	3777997764.833069	1.967754	23.500000	26.065356	-1.846300E-7	5.999430E-12	-8.420498E-11	-1.039902E-10	-1.265719E-10
660	3777997789.622219	1.926593	23.500000	26.066091	-1.846200E-7	5.998655E-12	-8.080282E-11	-1.011731E-10	-1.235895E-10
675	3777997814.610455	1.957608	23.500000	26.097361	-1.846800E-7	5.999130E-12	-7.484577E-11	-9.573756E-11	-1.154600E-10
