#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.331093E-12
#47368_021_2-S_MAIN0_Interstrip_092023
#Date/Time: 9/20/2023 10:22:48 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
480	3778065419.111182	2.072931	23.500000	26.344673	-1.957900E-7	5.989992E-12	-8.434565E-11	-1.018025E-10	-1.203456E-10
495	3778065443.924942	1.992506	23.500000	26.352122	-1.957300E-7	5.989813E-12	-8.582885E-11	-1.049119E-10	-1.230971E-10
510	3778065468.699741	1.990783	23.500000	26.365816	-1.957700E-7	5.990800E-12	-7.930040E-11	-9.792257E-11	-1.197058E-10
525	3778065493.501851	1.958786	23.500000	26.366153	-1.958000E-7	5.991607E-12	-7.682927E-11	-9.568673E-11	-1.143260E-10
540	3778065518.580715	1.932783	23.500000	26.380283	-1.957800E-7	5.991432E-12	-8.603045E-11	-1.050658E-10	-1.258040E-10
555	3778065543.522023	1.992031	23.500000	26.376319	-1.958000E-7	5.991415E-12	-7.953593E-11	-1.010111E-10	-1.180024E-10
570	3778065568.456882	1.912420	23.500000	26.364904	-1.956400E-7	5.993325E-12	-8.297829E-11	-1.047884E-10	-1.227933E-10
585	3778065593.296244	1.869634	23.500000	26.371205	-1.956200E-7	5.992770E-12	-8.381389E-11	-1.059427E-10	-1.248539E-10
600	3778065618.101663	1.865510	23.500000	26.364309	-1.957500E-7	5.992343E-12	-8.201131E-11	-1.017178E-10	-1.240214E-10
615	3778065642.903254	1.929259	23.500000	26.381888	-1.959300E-7	5.991082E-12	-8.040456E-11	-9.901444E-11	-1.189410E-10
630	3778065667.715725	1.883409	23.500000	26.391143	-1.957100E-7	5.993767E-12	-8.089094E-11	-1.005989E-10	-1.230323E-10
645	3778065692.535192	1.874742	23.500000	26.400197	-1.955600E-7	5.993120E-12	-8.459462E-11	-1.038154E-10	-1.255079E-10
660	3778065717.476591	1.896540	23.500000	26.401130	-1.958100E-7	5.994545E-12	-8.507938E-11	-1.053369E-10	-1.266442E-10
675	3778065742.444817	1.879989	23.500000	26.428894	-1.956600E-7	5.994702E-12	-8.624917E-11	-1.075544E-10	-1.269412E-10
690	3778065767.288041	1.864163	23.500000	26.437494	-1.957700E-7	5.967980E-12	-8.598811E-11	-1.061452E-10	-1.246009E-10
705	3778065792.105212	1.845376	23.500000	26.437571	-1.958800E-7	5.995660E-12	-8.681671E-11	-1.056930E-10	-1.266636E-10
720	3778065816.942707	1.840531	23.500000	26.390964	-1.958600E-7	5.995633E-12	-9.278545E-11	-1.109292E-10	-1.301465E-10
735	3778065841.764815	1.851513	23.500000	26.427940	-1.958400E-7	5.995965E-12	-8.839480E-11	-1.083865E-10	-1.282290E-10
750	3778065866.574081	1.837703	23.500000	26.427029	-1.956800E-7	5.994860E-12	-8.838912E-11	-1.084162E-10	-1.271471E-10
765	3778065891.380292	1.827672	23.500000	26.442268	-1.958800E-7	5.995878E-12	-8.489637E-11	-1.052788E-10	-1.240234E-10
780	3778065916.318464	1.889461	23.500000	26.452990	-1.957100E-7	5.997302E-12	-8.754352E-11	-1.080639E-10	-1.266515E-10
795	3778065941.097442	1.902584	23.500000	26.451483	-1.957600E-7	5.996443E-12	-8.578588E-11	-1.061426E-10	-1.227507E-10
810	3778065965.931621	1.800264	23.500000	26.458260	-1.958000E-7	5.997360E-12	-8.834514E-11	-1.088649E-10	-1.277457E-10
825	3778065990.739621	1.802772	23.500000	26.467613	-1.958800E-7	5.997165E-12	-8.463814E-11	-1.050204E-10	-1.255884E-10
840	3778066015.686549	1.767100	23.500000	26.475005	-1.957100E-7	5.997595E-12	-8.375683E-11	-1.022064E-10	-1.228203E-10
855	3778066040.469915	1.763842	23.500000	26.478156	-1.958200E-7	5.997705E-12	-8.436917E-11	-1.030097E-10	-1.240404E-10
870	3778066065.291409	1.716397	23.500000	26.485745	-1.957200E-7	5.998388E-12	-8.343690E-11	-1.021918E-10	-1.220980E-10
885	3778066090.114486	1.727034	23.500000	26.507782	-1.959600E-7	5.999472E-12	-9.056522E-11	-1.103611E-10	-1.288632E-10
900	3778066114.949113	1.710321	23.500000	26.475660	-1.958200E-7	5.999413E-12	-8.671552E-11	-1.050394E-10	-1.253304E-10
915	3778066139.775500	1.730722	23.500000	26.505543	-1.959200E-7	6.000535E-12	-8.516056E-11	-1.049386E-10	-1.242565E-10
930	3778066164.983922	1.712188	23.500000	26.528966	-1.957900E-7	6.002883E-12	-8.275605E-11	-1.040632E-10	-1.228440E-10
945	3778066189.807770	1.689676	23.500000	26.508496	-1.957200E-7	6.001460E-12	-9.021089E-11	-1.089451E-10	-1.300001E-10
960	3778066214.670661	1.701432	23.500000	26.526766	-1.955800E-7	6.002915E-12	-8.543161E-11	-1.056949E-10	-1.247181E-10
975	3778066239.605360	1.729557	23.500000	26.522327	-1.957800E-7	6.002512E-12	-9.086865E-11	-1.103793E-10	-1.288956E-10
990	3778066264.419455	1.696806	23.500000	26.525836	-1.958500E-7	6.000810E-12	-8.829754E-11	-1.091428E-10	-1.285920E-10
1005	3778066289.212776	1.706297	23.500000	26.553379	-1.959600E-7	6.000742E-12	-8.828056E-11	-1.058141E-10	-1.276618E-10
1020	3778066315.875554	1.672288	23.500000	26.537605	-1.958200E-7	5.981900E-12	-8.313208E-11	-9.790988E-11	-1.125525E-10
1035	3778066340.826064	1.605962	23.500000	26.668338	-1.957600E-7	5.997270E-12	-8.057244E-11	-9.685392E-11	-1.111539E-10
1050	3778066365.762845	1.607680	23.500000	26.586374	-1.958400E-7	5.996138E-12	-8.619425E-11	-9.980018E-11	-1.148546E-10
1065	3778066390.589543	1.621058	23.500000	26.569610	-1.959500E-7	5.997197E-12	-8.175493E-11	-9.714404E-11	-1.090085E-10
1080	3778066415.396836	1.625140	23.500000	26.604706	-1.958500E-7	5.997498E-12	-7.926482E-11	-9.285422E-11	-1.092488E-10
1095	3778066440.208511	1.628570	23.500000	26.607301	-1.958500E-7	5.997500E-12	-7.736000E-11	-9.156845E-11	-1.065014E-10
1110	3778066465.011553	1.651880	23.500000	26.536418	-1.957000E-7	5.996918E-12	-8.103800E-11	-9.696516E-11	-1.110054E-10
1125	3778066489.803392	1.650254	23.500000	26.525995	-1.957500E-7	5.996630E-12	-8.704188E-11	-1.006300E-10	-1.166711E-10
1140	3778066514.577168	1.647413	23.500000	26.579914	-1.957100E-7	5.996987E-12	-7.853844E-11	-9.191010E-11	-1.078015E-10
