#Open Capacitance 1000Hz:4.557637E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_015_2-S_MAIN0_Single_091923
#Date/Time: 9/19/2023 4:42:37 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
136	3778001605.809083	2.673597	23.500000	26.769501	-1.846500E-7	-6.019248E-11	1.490530E-10	-7.911065E-11	-7.703416E-11	-7.808764E-11	-7.873186E-11	-7.824108E-11	-7.840975E-11	-6.625212E-7	-3.311505E-6
140	3778001623.095273	2.687681	23.500000	26.770016	-1.845300E-7	-1.838814E-11	1.490783E-10	-8.308115E-11	-8.332160E-11	-8.344629E-11	-8.365604E-11	-8.337627E-11	-8.338394E-11	-6.635813E-7	-3.316714E-6
144	3778001640.255278	2.987999	23.500000	26.769026	-1.846400E-7	-8.217103E-11	1.490383E-10	-7.963055E-11	-7.942261E-11	-8.074701E-11	-7.934189E-11	-7.978551E-11	-7.952658E-11	-6.639085E-7	-3.317871E-6
148	3778001657.680950	2.740928	23.500000	26.767836	-1.845800E-7	-3.811378E-11	1.490360E-10	-8.294537E-11	-8.278759E-11	-8.292499E-11	-8.520881E-11	-8.346669E-11	-8.293518E-11	-6.646056E-7	-3.321828E-6
152	3778001675.019751	2.696857	23.500000	26.780618	-1.845700E-7	-2.068319E-12	1.489845E-10	-7.856581E-11	-7.912231E-11	-8.088563E-11	-7.836526E-11	-7.923475E-11	-7.884406E-11	-6.662684E-7	-3.330010E-6
156	3778001692.151042	2.622138	23.500000	26.716410	-1.846600E-7	-3.190571E-11	1.490235E-10	-8.207470E-11	-8.560889E-11	-8.485655E-11	-8.339437E-11	-8.398363E-11	-8.412546E-11	-6.633933E-7	-3.316091E-6
160	3778001709.287010	2.591304	23.500000	26.697348	-1.844900E-7	-6.134396E-11	1.490670E-10	-8.113611E-11	-8.157398E-11	-7.979759E-11	-8.030523E-11	-8.070323E-11	-8.072067E-11	-6.610775E-7	-3.303791E-6
164	3778001726.426478	2.531375	23.500000	26.689026	-1.846800E-7	-9.333545E-11	1.490405E-10	-8.372495E-11	-8.404102E-11	-8.172774E-11	-8.347941E-11	-8.324328E-11	-8.360218E-11	-6.617534E-7	-3.307486E-6
168	3778001743.592445	2.507931	23.500000	26.675153	-1.847400E-7	-8.327247E-11	1.490615E-10	-7.797971E-11	-8.083206E-11	-7.914008E-11	-8.045895E-11	-7.960270E-11	-7.979952E-11	-6.630272E-7	-3.313825E-6
172	3778001760.756198	2.408663	23.500000	26.727805	-1.846800E-7	-3.866449E-11	1.490158E-10	-8.448566E-11	-8.487697E-11	-8.420516E-11	-8.479886E-11	-8.459166E-11	-8.464226E-11	-6.647480E-7	-3.322423E-6
176	3778001778.281631	2.437643	23.500000	26.744730	-1.847900E-7	-8.182057E-11	1.490750E-10	-7.942526E-11	-8.025555E-11	-8.059101E-11	-7.996134E-11	-8.005829E-11	-8.010844E-11	-6.645877E-7	-3.321678E-6
180	3778001795.539071	2.362119	23.500000	26.705452	-1.847200E-7	-1.020970E-10	1.491105E-10	-8.677645E-11	-8.686721E-11	-8.576940E-11	-8.909198E-11	-8.712626E-11	-8.682183E-11	-6.653682E-7	-3.325469E-6
184	3778001812.842915	2.311914	23.500000	26.707099	-1.847200E-7	-1.122926E-11	1.490635E-10	-8.151221E-11	-8.273520E-11	-8.309847E-11	-8.185102E-11	-8.229923E-11	-8.229311E-11	-6.654217E-7	-3.325480E-6
188	3778001829.972153	2.258408	23.500000	26.714034	-1.847600E-7	-3.280688E-11	1.490675E-10	-7.611104E-11	-7.439926E-11	-7.506307E-11	-7.189893E-11	-7.436808E-11	-7.473117E-11	-6.611560E-7	-3.304580E-6
192	3778001847.387214	2.235208	23.500000	26.737218	-1.847400E-7	-6.279589E-11	1.490093E-10	-8.122338E-11	-8.210575E-11	-8.256552E-11	-8.239320E-11	-8.207196E-11	-8.224948E-11	-6.599202E-7	-3.298341E-6
196	3778001864.538882	2.170467	23.500000	26.702203	-1.845100E-7	-7.324590E-12	1.490575E-10	-8.024306E-11	-8.130333E-11	-8.048861E-11	-7.978961E-11	-8.045615E-11	-8.036583E-11	-6.617550E-7	-3.307348E-6
200	3778001881.704383	2.260384	23.500000	26.722239	-1.847200E-7	-3.641156E-11	1.490825E-10	-8.020014E-11	-8.228117E-11	-8.056505E-11	-7.951526E-11	-8.064040E-11	-8.038259E-11	-6.632399E-7	-3.314854E-6
204	3778001899.003356	2.256115	23.500000	26.734842	-1.844900E-7	-1.723664E-11	1.490447E-10	-8.793462E-11	-8.681467E-11	-8.878632E-11	-8.757625E-11	-8.777797E-11	-8.775543E-11	-6.635344E-7	-3.316336E-6
208	3778001916.335595	2.294520	23.500000	26.791595	-1.845500E-7	-4.281989E-11	1.490442E-10	-8.328292E-11	-8.347881E-11	-8.412830E-11	-8.436974E-11	-8.381494E-11	-8.380356E-11	-6.652053E-7	-3.324933E-6
212	3778001933.497470	2.233751	23.500000	26.742332	-1.845300E-7	-1.047004E-10	1.489903E-10	-7.887022E-11	-7.823546E-11	-7.835874E-11	-7.861265E-11	-7.851927E-11	-7.848570E-11	-6.652944E-7	-3.325156E-6
216	3778001950.875498	2.182601	23.500000	26.726161	-1.844500E-7	-1.193009E-11	1.490295E-10	-8.138284E-11	-8.019729E-11	-8.292576E-11	-7.982804E-11	-8.108348E-11	-8.079007E-11	-6.633119E-7	-3.315733E-6
220	3778001968.209608	2.116655	23.500000	26.746831	-1.844700E-7	-1.005949E-10	1.490613E-10	-8.381589E-11	-8.495831E-11	-8.467865E-11	-8.448342E-11	-8.448407E-11	-8.458103E-11	-6.609597E-7	-3.303568E-6
224	3778001985.501649	2.134103	23.500000	26.750753	-1.844600E-7	-7.456109E-11	1.490267E-10	-8.547352E-11	-8.115283E-11	-8.346671E-11	-8.264138E-11	-8.318361E-11	-8.305404E-11	-6.621199E-7	-3.309275E-6
228	3778002002.788911	2.105364	23.500000	26.774000	-1.846400E-7	-5.133092E-11	1.490380E-10	-8.312017E-11	-8.315370E-11	-8.037720E-11	-8.103670E-11	-8.192194E-11	-8.207843E-11	-6.644507E-7	-3.320951E-6
232	3778002019.968060	2.121306	23.500000	26.768706	-1.848600E-7	-9.779132E-11	1.489943E-10	-8.149464E-11	-8.146542E-11	-8.126139E-11	-8.233636E-11	-8.163945E-11	-8.148003E-11	-6.656142E-7	-3.326434E-6
236	3778002037.395781	2.049362	23.500000	26.750475	-1.844600E-7	-1.318159E-11	1.490460E-10	-8.275136E-11	-8.157173E-11	-8.249785E-11	-8.204337E-11	-8.221608E-11	-8.227061E-11	-6.658315E-7	-3.328143E-6
240	3778002054.694686	2.048089	23.500000	26.752657	-1.846500E-7	-3.310728E-11	1.490818E-10	-7.996296E-11	-8.063517E-11	-8.084167E-11	-8.149812E-11	-8.073448E-11	-8.073842E-11	-6.677688E-7	-3.337197E-6
244	3778002071.977711	2.029727	23.500000	26.773782	-1.846400E-7	-3.495966E-11	1.490405E-10	-8.342912E-11	-8.277978E-11	-8.244534E-11	-8.141410E-11	-8.251708E-11	-8.261256E-11	-6.680095E-7	-3.338853E-6
248	3778002089.268639	2.006017	23.500000	26.743938	-1.847400E-7	-8.807875E-11	1.490505E-10	-8.393165E-11	-8.119826E-11	-8.060251E-11	-8.114675E-11	-8.171979E-11	-8.117251E-11	-6.638915E-7	-3.318124E-6
252	3778002106.547309	2.021912	23.500000	26.749190	-1.846900E-7	-5.708844E-11	1.489945E-10	-7.336765E-11	-7.373584E-11	-7.527654E-11	-7.545116E-11	-7.445780E-11	-7.450619E-11	-6.633777E-7	-3.315662E-6
256	3778002123.977555	1.979884	23.500000	26.772374	-1.845300E-7	-1.007951E-10	1.490458E-10	-8.038722E-11	-8.127757E-11	-7.785234E-11	-7.929774E-11	-7.970372E-11	-7.984248E-11	-6.644752E-7	-3.321311E-6
260	3778002141.158086	1.942195	23.500000	26.777566	-1.845900E-7	-6.710144E-11	1.490753E-10	-7.741069E-11	-7.778015E-11	-7.842290E-11	-7.949011E-11	-7.827596E-11	-7.810153E-11	-6.654831E-7	-3.326539E-6
264	3778002158.322405	1.915013	23.500000	26.763675	-1.845500E-7	-1.628540E-11	1.490393E-10	-7.497357E-11	-7.300968E-11	-7.525711E-11	-7.583834E-11	-7.476968E-11	-7.511534E-11	-6.674867E-7	-3.336299E-6
268	3778002175.646578	1.868255	23.500000	26.730522	-1.846000E-7	-1.000442E-10	1.490520E-10	-8.001555E-11	-8.047554E-11	-8.007114E-11	-8.031915E-11	-8.022034E-11	-8.019515E-11	-6.667623E-7	-3.332525E-6
272	3778002192.905025	1.908197	23.500000	26.705631	-1.847400E-7	-8.617621E-11	1.489828E-10	-8.063624E-11	-7.961810E-11	-8.147875E-11	-8.132992E-11	-8.076575E-11	-8.098308E-11	-6.677062E-7	-3.337279E-6
276	3778002210.052088	1.860168	23.500000	26.724538	-1.846700E-7	-7.911707E-11	1.490355E-10	-7.524853E-11	-7.566173E-11	-7.435286E-11	-7.561673E-11	-7.521996E-11	-7.543263E-11	-6.671731E-7	-3.334259E-6
280	3778002227.474104	1.867126	23.500000	26.698122	-1.846800E-7	-4.421131E-12	1.490667E-10	-8.410278E-11	-8.312862E-11	-8.169387E-11	-8.012165E-11	-8.226173E-11	-8.241125E-11	-6.639261E-7	-3.318076E-6
284	3778002244.651986	1.881262	23.500000	26.689579	-1.845800E-7	-7.285893E-11	1.490295E-10	-7.951877E-11	-7.693645E-11	-8.018422E-11	-7.761929E-11	-7.856468E-11	-7.856903E-11	-6.616858E-7	-3.307267E-6
288	3778002261.842508	1.865359	23.500000	26.684626	-1.845500E-7	-1.009455E-10	1.490355E-10	-8.085623E-11	-8.401652E-11	-8.406720E-11	-8.174780E-11	-8.267194E-11	-8.288216E-11	-6.633612E-7	-3.315668E-6
292	3778002279.122773	1.896835	23.500000	26.685161	-1.846300E-7	-1.132938E-11	1.489702E-10	-7.744241E-11	-7.696710E-11	-7.795375E-11	-7.882426E-11	-7.779688E-11	-7.769808E-11	-6.644877E-7	-3.321149E-6
296	3778002296.420785	1.894158	23.500000	26.711992	-1.845600E-7	-7.115671E-11	1.490440E-10	-8.112876E-11	-8.143543E-11	-8.089816E-11	-8.168771E-11	-8.128752E-11	-8.128210E-11	-6.653451E-7	-3.325184E-6
300	3778002313.538367	1.854742	23.500000	26.762823	-1.847300E-7	-4.171847E-11	1.490753E-10	-7.598211E-11	-7.298657E-11	-7.252904E-11	-7.290197E-11	-7.359992E-11	-7.294427E-11	-6.655753E-7	-3.326641E-6
304	3778002330.945005	1.911243	23.500000	26.768470	-1.846400E-7	-3.045381E-11	1.490493E-10	-8.032817E-11	-8.206429E-11	-8.064691E-11	-8.002456E-11	-8.076598E-11	-8.048754E-11	-6.664374E-7	-3.330836E-6
308	3778002348.204809	1.901940	23.500000	26.769678	-1.846700E-7	-2.019047E-11	1.490657E-10	-8.238671E-11	-8.246828E-11	-8.349295E-11	-8.368739E-11	-8.300883E-11	-8.298062E-11	-6.644544E-7	-3.320888E-6
312	3778002365.638492	1.858997	23.500000	26.720039	-1.846000E-7	-1.263093E-11	1.490092E-10	-7.732634E-11	-7.695934E-11	-7.544380E-11	-7.706524E-11	-7.669868E-11	-7.701229E-11	-6.623288E-7	-3.310473E-6
316	3778002382.941051	1.886831	23.500000	26.771860	-1.845400E-7	-6.675100E-11	1.490660E-10	-8.292925E-11	-7.993826E-11	-8.045263E-11	-8.166724E-11	-8.124684E-11	-8.105993E-11	-6.613417E-7	-3.305722E-6
320	3778002400.456985	1.843077	23.500000	26.748613	-1.845600E-7	-5.208193E-11	1.490985E-10	-8.074339E-11	-7.949485E-11	-7.790408E-11	-8.013109E-11	-7.956835E-11	-7.981297E-11	-6.625253E-7	-3.311402E-6
324	3778002417.907207	1.806996	23.500000	26.686629	-1.846800E-7	-1.818788E-11	1.490758E-10	-8.595975E-11	-8.416842E-11	-8.505243E-11	-8.533314E-11	-8.512844E-11	-8.519278E-11	-6.642523E-7	-3.319697E-6
328	3778002435.357473	1.829030	23.500000	26.776556	-1.847100E-7	-8.976569E-12	1.491028E-10	-8.337703E-11	-8.353136E-11	-8.321693E-11	-8.346639E-11	-8.339793E-11	-8.342171E-11	-6.647056E-7	-3.322298E-6
332	3778002452.621069	1.824919	23.500000	26.742826	-1.844600E-7	-7.566257E-11	1.490582E-10	-8.171369E-11	-8.186601E-11	-8.159329E-11	-8.193860E-11	-8.177790E-11	-8.178985E-11	-6.658567E-7	-3.327517E-6
336	3778002470.048911	1.905780	23.500000	26.747800	-1.846300E-7	-6.870350E-11	1.491118E-10	-8.027932E-11	-7.989231E-11	-7.897601E-11	-8.146819E-11	-8.015396E-11	-8.008581E-11	-6.660080E-7	-3.328933E-6
340	3778002487.336930	1.911866	23.500000	26.724042	-1.845300E-7	-3.400844E-11	1.491435E-10	-8.230820E-11	-8.027522E-11	-8.073663E-11	-8.017078E-11	-8.087271E-11	-8.050593E-11	-6.623660E-7	-3.310962E-6
344	3778002504.650103	1.883311	23.500000	26.746870	-1.848100E-7	-3.495966E-11	1.491113E-10	-8.206655E-11	-8.094399E-11	-8.071683E-11	-8.017057E-11	-8.097449E-11	-8.083041E-11	-6.608275E-7	-3.302662E-6
348	3778002522.078502	1.857001	23.500000	26.730104	-1.845800E-7	-8.136999E-11	1.484128E-10	-7.585823E-11	-7.698572E-11	-7.737010E-11	-7.810939E-11	-7.708086E-11	-7.717791E-11	-6.608605E-7	-3.302899E-6
352	3778002539.266247	1.881839	23.500000	26.739696	-1.847100E-7	-4.497269E-11	1.490775E-10	-7.496543E-11	-7.756699E-11	-7.679807E-11	-7.656624E-11	-7.647418E-11	-7.668215E-11	-6.628975E-7	-3.313657E-6
356	3778002556.616373	1.851140	23.500000	26.752894	-1.846000E-7	-4.617424E-11	1.491270E-10	-7.925013E-11	-7.903813E-11	-7.949507E-11	-8.026806E-11	-7.951285E-11	-7.937260E-11	-6.637845E-7	-3.317964E-6
360	3778002573.913229	1.776600	23.500000	26.732403	-1.845300E-7	-9.829200E-11	1.491585E-10	-8.004481E-11	-7.807725E-11	-8.023371E-11	-7.864231E-11	-7.924952E-11	-7.934356E-11	-6.645673E-7	-3.321521E-6
364	3778002591.088057	1.789913	23.500000	26.680384	-1.847500E-7	-4.437190E-11	1.491412E-10	-8.585331E-11	-8.398836E-11	-8.345619E-11	-8.536610E-11	-8.466599E-11	-8.467723E-11	-6.657042E-7	-3.327005E-6
368	3778002608.558783	1.812812	23.500000	26.700797	-1.846300E-7	-1.031483E-10	1.491677E-10	-7.962306E-11	-8.168589E-11	-8.171146E-11	-8.279583E-11	-8.145406E-11	-8.169868E-11	-6.653430E-7	-3.325115E-6
372	3778002625.688815	1.752422	23.500000	26.658488	-1.843600E-7	-8.131992E-11	1.491260E-10	-7.704869E-11	-7.692294E-11	-7.711126E-11	-7.872006E-11	-7.745074E-11	-7.707997E-11	-6.618866E-7	-3.307963E-6
376	3778002642.853189	1.773470	23.500000	26.679990	-1.846700E-7	-1.433296E-11	1.491770E-10	-8.472209E-11	-8.416313E-11	-8.537752E-11	-8.513810E-11	-8.485021E-11	-8.493009E-11	-6.606078E-7	-3.301808E-6
380	3778002660.111535	1.788900	23.500000	26.715143	-1.845400E-7	-7.675020E-12	1.492118E-10	-8.179957E-11	-7.925712E-11	-7.871840E-11	-8.117355E-11	-8.023716E-11	-8.021533E-11	-6.628630E-7	-3.313041E-6
384	3778002677.389851	1.772115	23.500000	26.730681	-1.846700E-7	-4.367097E-11	1.491848E-10	-8.245483E-11	-8.178507E-11	-8.140131E-11	-8.273123E-11	-8.209311E-11	-8.211995E-11	-6.638513E-7	-3.318096E-6
388	3778002694.548988	1.733841	23.500000	26.706623	-1.845700E-7	-5.052990E-11	1.491983E-10	-7.720267E-11	-7.737504E-11	-7.930497E-11	-7.801820E-11	-7.797522E-11	-7.769662E-11	-6.653099E-7	-3.325489E-6
392	3778002711.994339	1.742647	23.500000	26.689639	-1.844400E-7	-1.042830E-11	1.491530E-10	-7.559717E-11	-7.345298E-11	-7.532036E-11	-7.677251E-11	-7.528576E-11	-7.545876E-11	-6.667639E-7	-3.332647E-6
396	3778002729.127396	1.732159	23.500000	26.676579	-1.845500E-7	-1.068531E-10	1.492220E-10	-8.376344E-11	-8.343799E-11	-8.307877E-11	-8.262593E-11	-8.322653E-11	-8.325838E-11	-6.682578E-7	-3.339684E-6
400	3778002746.407514	1.735450	23.500000	26.672618	-1.844400E-7	-1.093563E-10	1.492670E-10	-7.563644E-11	-7.520795E-11	-7.534019E-11	-7.290283E-11	-7.477185E-11	-7.527407E-11	-6.665949E-7	-3.332041E-6
404	3778002763.661146	1.796157	23.500000	26.682088	-1.844100E-7	-9.288489E-11	1.492503E-10	-8.131318E-11	-7.907518E-11	-7.891509E-11	-7.921541E-11	-7.962971E-11	-7.914529E-11	-6.649005E-7	-3.322865E-6
408	3778002780.902195	1.702398	23.500000	26.719226	-1.845600E-7	-1.653573E-11	1.492602E-10	-7.711269E-11	-7.525165E-11	-7.395529E-11	-7.313116E-11	-7.486270E-11	-7.460347E-11	-6.644066E-7	-3.320616E-6
