#Open Capacitance 1000Hz:4.560857E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_021_2-S_MAIN0_Single_092023
#Date/Time: 9/20/2023 11:26:59 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
108	3778068948.530691	2.647839	23.500000	26.840543	-1.956900E-7	-9.653998E-11	1.488018E-10	-9.152664E-11	-9.059884E-11	-9.020916E-11	-8.832502E-11	-9.016492E-11	-9.040400E-11	-6.683647E-7	-3.340065E-6
112	3778068965.801664	2.630645	23.500000	26.851818	-1.956700E-7	-8.857956E-11	1.487560E-10	-9.093658E-11	-9.061314E-11	-9.129740E-11	-9.032813E-11	-9.079381E-11	-9.077486E-11	-6.685432E-7	-3.341457E-6
116	3778068983.106307	2.594182	23.500000	26.862600	-1.959600E-7	-1.059522E-10	1.487893E-10	-8.644107E-11	-8.701716E-11	-8.560753E-11	-8.621861E-11	-8.632109E-11	-8.632984E-11	-6.693143E-7	-3.345658E-6
120	3778069000.275893	2.429992	23.500000	26.847340	-1.958200E-7	-7.526221E-11	1.488108E-10	-8.137965E-11	-8.233930E-11	-8.229923E-11	-8.193430E-11	-8.198812E-11	-8.211676E-11	-6.691712E-7	-3.344082E-6
124	3778069017.734539	2.617522	23.500000	26.852730	-1.957800E-7	-7.741499E-11	1.487725E-10	-8.123879E-11	-8.178012E-11	-8.332061E-11	-8.393252E-11	-8.256801E-11	-8.255037E-11	-6.673924E-7	-3.335489E-6
128	3778069035.143672	2.524714	23.500000	26.863629	-1.960000E-7	-9.799175E-11	1.487853E-10	-8.397566E-11	-8.207719E-11	-8.272465E-11	-8.290763E-11	-8.292128E-11	-8.281614E-11	-6.644662E-7	-3.321321E-6
132	3778069052.437207	2.370929	23.500000	26.845003	-1.957900E-7	-8.837933E-11	1.487273E-10	-8.222949E-11	-8.400056E-11	-8.489565E-11	-8.430275E-11	-8.385711E-11	-8.415165E-11	-6.641051E-7	-3.318796E-6
136	3778069069.730817	2.464744	23.500000	26.870743	-1.956900E-7	-5.849039E-11	1.487725E-10	-8.344491E-11	-8.262081E-11	-8.399383E-11	-8.241675E-11	-8.311907E-11	-8.303286E-11	-6.655496E-7	-3.326485E-6
140	3778069087.078452	2.433980	23.500000	26.872844	-1.957500E-7	-1.047835E-11	1.488043E-10	-8.687220E-11	-8.802772E-11	-8.646701E-11	-8.568747E-11	-8.676360E-11	-8.666960E-11	-6.662294E-7	-3.330268E-6
144	3778069104.495302	2.364228	23.500000	26.888400	-1.959000E-7	-8.091954E-11	1.487722E-10	-8.263185E-11	-8.480325E-11	-8.301457E-11	-8.282997E-11	-8.331991E-11	-8.292227E-11	-6.655390E-7	-3.326042E-6
